Species	n_reps	n_syn_non_muts	dN_dS_total	t_stat	p_BH
KBS0724	4	30.5	0.28961347638259766	-17.84776145478547	0.0006232845273814135
KBS0801	4	27.5	0.32963343311285515	-11.065630528783307	0.002055239494190611
KBS0712	4	2014.5	0.35251605518720386	-10.003097697129999	0.002303674148696607
KBS0715	4	90.0	0.5646006103348171	-7.588258314947431	0.0038579887948439486
ATCC13985	4	196.5	0.15499258474068817	-32.785185618487105	0.00040541378625074884
KBS0812	4	49.25	0.20117324818360083	-20.076318175622042	0.0005852550823238143
KBS0722	4	69.75	1.0462108518509803	0.24521544629650768	0.4110534510331034
KBS0711	3	160.66666666666666	0.31290324021741955	-17.080226178201066	0.0031666646194526936
KBS0713	3	19.333333333333332	0.7573937356276698	-1.30361814102965	0.17454022002956257
KBS0702	6	308.0	0.9474785963972113	-1.3453942237794456	0.13962529699378362
KBS0707	4	57.75	0.5300837561219158	-5.49990510709622	0.00854400404698568
KBS0721	4	61.5	0.2606919446275728	-25.76963042337977	0.00041656251740329717
KBS0802	4	13.25	0.470286158434	-2.720555556261315	0.047135015232366545
